Header in export,Discription,Code,Meaning
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM31    ,DIGITAL DIAGNOSTIC UNILATERAL                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM32    ,DIGITAL DIAGNOSTIC BILATERAL                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM41    ,MAM NO COMP AVAIL/REREAD CAT 0                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSI29    ,IP SONO BREAST BIOPSY                             
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSI26    ,IP SONO BREAST BIOPSY NEEDLE                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM45    ,LCRG SCREENING MAMMO                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XMRB03    ,MR BREAST UNI WITH/WITHOUT CON                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM34    ,DIGITAL SCREENING UNILATERAL                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM27    ,NEEDLE LOC ADDITIONAL SITE                        
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM09    ,MAMMO SAME DAY DIAGNOS BILAT                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XMRB02    ,MR BREAST UNI WITHOUT CONTRST                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XMRB04    ,MR BREAST BIL WITH/WITHOUT CON                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XMRB08    ,MR BREAST BIL WITHOUT CONTRAS                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XUSI25    ,IP SONO BREAST NEEDLE LOC                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM99    ,RADIOLOGIST DICTATED NO/SHOW                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",XOPM24    ,MAMMO STEREO BX PERC.NEEDLE CO                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",MM35      ,MM CAD DIAGNOSTIC MAMMO                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",US042     ,US BREAST CYST ASPIRATION ADDL                    
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2295,Mg Breast Outside Image Ref Only                  
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2297,MG Us Breast Outside Image Ref Only               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2301,MRI Breast Outside Image Ref Only                 
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",729,MG US Breast Guided FNA                           
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1765,MG US Breast Drain Placement                      
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1743,MG Tomosynthesis Tomo Rt                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",1744,MG Tomosynthesis Tomo Lt                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2198,US Axilla Only Left                               
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2199,US Axilla Only Right                              
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",2216,US Axilla Only Bilateral                          
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SPRGB     ,Specimen Radiograph Bilateral                     
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SPRGR     ,Specimen Radiograph Right                         
sprocs,"Procedure code for the exam. (may have side next to code, ie: '-L' or '-R' or '-B')",SPRGL     ,Specimen Radiograph Left                          
study,Exam date.,,
sdate,Unique study identifier. Does not always equal the exam date. ,,
accession,Unique site record identifier for the exam,,
massshape,Mass Shape,G,Generic
massshape,Mass Shape,R,Round
massshape,Mass Shape,O,Oval
massshape,Mass Shape,X,Irregular
massshape,Mass Shape,Q,Questioned architectural distortion
massshape,Mass Shape,A,Architectural distortion
massshape,Mass Shape,T,Asymmectric tubular structure/solitary dilated duct
massshape,Mass Shape,N,Intramammary lymph node
massshape,Mass Shape,B,Global asymmetry
massshape,Mass Shape,F,Focal asymetry
massshape,Mass Shape,S,Asymmetry
massshape,Mass Shape,V,Developing asymmestry
massshape,Mass Shape,Y,Lumph Node
massmargin,Mass Margin,D,Circumscribed
massmargin,Mass Margin,U,Obscured
massmargin,Mass Margin,M,Microlobulated
massmargin,Mass Margin,I,Indistinct
massmargin,Mass Margin,S,Spiculated
massdens,Mass Density,+,High density
massdens,Mass Density,=,Isodense
massdens,Mass Density,-,Low density
massdens,Mass Density,0,Fat containing
calcfind,Calcification Finding,A,Amorphous
calcfind,Calcification Finding,9,Benign
calcfind,Calcification Finding,H,Coarse heterogeneous
calcfind,Calcification Finding,C,Course Popcorn-like
calcfind,Calcification Finding,D,Dystrophic
calcfind,Calcification Finding,E,Rim
calcfind,Calcification Finding,F,Fine-linear (casting)
calcfind,Calcification Finding,B,Fine linear-branching (casting)
calcfind,Calcification Finding,G,Generic
calcfind,Calcification Finding,I,Fine pleomorphic
calcfind,Calcification Finding,L,Large Rodlike
calcfind,Calcification Finding,M,Milk of calcium
calcfind,Calcification Finding,J,Oil Cyst
calcfind,Calcification Finding,K,Pleomorphic
calcfind,Calcification Finding,P,Punctate
calcfind,Calcification Finding,R,Round
calcfind,Calcification Finding,S,Skin
calcfind,Calcification Finding,O,Lucent-centered
calcfind,Calcification Finding,U,Suture
calcfind,Calcification Finding,V,Vascular
calcfind,Calcification Finding,Q,Coarse
calcdistri,Calcification Distribution,G,Grouped
calcdistri,Calcification Distribution,S,Segmental
calcdistri,Calcification Distribution,R,Regional
calcdistri,Calcification Distribution,D,Diffuse/scattered
calcdistri,Calcification Distribution,L,Linear
calcdistri,Calcification Distribution,C,Clustered
calcnumber,Number of Calcifications,,
otherfind,Other related finding,!     ,area of post-mastectomy change and myocutaneous flap reconstruction                                                                                                                                     
otherfind,Other related finding,%     ,calcified oil cyst                                                                                                                                                                                      
otherfind,Other related finding,1,area of post-lumpectomy and radiation change                                                                                                                                                            
otherfind,Other related finding,2,prominent lymph node
otherfind,Other related finding,3,reduction mammoplasty change                                                                                                                                                                           
otherfind,Other related finding,4,asymmetry
otherfind,Other related finding,5,density in the MLO projection
otherfind,Other related finding,A     ,axilliary adenopathy                                                                                                                                                                                    
otherfind,Other related finding,B     ,site(s) of previous percutaneous needle biopsy with clip placement
otherfind,Other related finding,C     ,area of post-reduction change                                                                                                                                                                           
otherfind,Other related finding,D     ,area of architectural distortion                                                                                                                                                                        
otherfind,Other related finding,E     ,duct ectasia                                                                                                                                                                                            
otherfind,Other related finding,F     ,site(s) of prior stereotactic core biopsy with clip placement
otherfind,Other related finding,G     ,area of subareolar density that is consistent with gynecomastia
otherfind,Other related finding,H     ,a hematoma                                                                                                                                                                                              
otherfind,Other related finding,I     ,focal asymmetry density in the CC projection                                                                                                                                                            
otherfind,Other related finding,J     ,diffuse skin thickening                                                                                                                                                                                 
otherfind,Other related finding,K     ,site(s) of prior ultrasound core biopsy with clip placement
otherfind,Other related finding,L     ,skin lesion                                                                                                                                                                                             
otherfind,Other related finding,M     ,clip(s) related to prior MRI biopsy                                                                                                                                                                     
otherfind,Other related finding,N     ,nipple retraction                                                                                                                                                                                       
otherfind,Other related finding,O     ,dilated duct                                                                                                                                                                                            
otherfind,Other related finding,P     ,area of post-surgical change                                                                                                                                                                            
otherfind,Other related finding,Q     ,focal asymmetry                                                                                                                                                                                         
otherfind,Other related finding,R     ,area of skin retraction                                                                                                                                                                                 
otherfind,Other related finding,S     ,area of skin thickening                                                                                                                                                                                 
otherfind,Other related finding,T     ,area of trabecular thickening                                                                                                                                                                           
otherfind,Other related finding,U     ,area of post-lumpectomy change                                                                                                                                                                          
otherfind,Other related finding,V     ,normal lymph node(s)                                                                                                                                                                                    
otherfind,Other related finding,W     ,biopsy clip                                                                                                                                                                                             
otherfind,Other related finding,X     ,area of post-mastectomy change and implant placement                                                                                                                                                    
otherfind,Other related finding,Y     ,asymmetric breast tissue
otherfind,Other related finding,Z     ,abnormal lymph node(s)                                                                                                                                                                                  
implanfind,Implant Findings,A,Asymmetric
implanfind,Implant Findings,N,Normal Implants
implanfind,Implant Findings,C,Calcified
implanfind,Implant Findings,D,Distorted
implanfind,Implant Findings,F,Fibrosed
implanfind,Implant Findings,H,Herniated
implanfind,Implant Findings,R,Ruptured
implanfind,Implant Findings,S,Free silicone
implanfind,Implant Findings,T,Capsular contraction
implanfind,Implant Findings,K,Capsular Calcification
consistent,Consistent with,A,Abscess
consistent,Consistent with,ABT,Accessory breast tissue
consistent,Consistent with,AE,Augmentation then explantation
consistent,Consistent with,N,Benign asymmetry
consistent,Consistent with,CF,Calcified fibroadenoma
consistent,Consistent with,C,Cyst
consistent,Consistent with,DFA,Degenerating fibroadenoma
consistent,Consistent with,DF,Diabetic fibrous mastopathy
consistent,Consistent with,DE,Ectatic duct
consistent,Consistent with,G,Fat lobules
consistent,Consistent with,T,Fat necrosis
consistent,Consistent with,F,Fibroadenoma
consistent,Consistent with,FV,Fibroadenoma or variant
consistent,Consistent with,D,Fibrocystic change
consistent,Consistent with,SA,Fibrocystic change or sclerosing adenosis
consistent,Consistent with,J,Fibrosis
consistent,Consistent with,FB,Foreign body
consistent,Consistent with,FS,Free silicone
consistent,Consistent with,H,Hamartoma
consistent,Consistent with,E,Hematoma
consistent,Consistent with,I,Hyalinized fibroadenoma
consistent,Consistent with,LA,Lactating adenoma
consistent,Consistent with,L,Lipoma
consistent,Consistent with,Y,Lymph node
consistent,Consistent with,MG,Male gynecomastia
consistent,Consistent with,M,"Milk of Calcium, benign"
consistent,Consistent with,O,Oil cyst
consistent,Consistent with,PT,Phyllodes Tumor
consistent,Consistent with,PM,Plasma cell mastitis
consistent,Consistent with,>,Postsurgical Fluid Collection
consistent,Consistent with,PR,Prior reduction mammoplasty
consistent,Consistent with,SP,Sclerotic papilloma
consistent,Consistent with,S,Seroma
side,Side,L,Left
side,Side,R,Right
side,Side,B,Both
size,Size in mm,,
location,Location,1,1 o'clock
location,Location,2,2 o'clock
location,Location,3,3 o'clock
location,Location,4,4 o'clock
location,Location,5,5 o'clock
location,Location,6,6 o'clock
location,Location,7,7 o'clock
location,Location,8,8 o'clock
location,Location,9,9 o'clock
location,Location,10,10 o'clock
location,Location,11,11 o'clock
location,Location,12,12 o'clock
location,Location,W,Upper outer
location,Location,X,Upper inner
location,Location,Y,Lower outer
location,Location,Z,Lower inner
location,Location,C,Central
location,Location,D,Medial
location,Location,I,Inferior
location,Location,L,Lateral
location,Location,S,Sub-areolar
location,Location,U,Superior
location,Location,T,Axillary Tail
location,Location,A,Axillary Tail
location,Location,MD,Middle
location,Location,AN,Anterior
location,Location,UP,Upper
location,Location,LO,Lower
location,Location,IN,Inner
location,Location,OU,Outer
depth,Depth,A,Anterior
depth,Depth,M,Middle
depth,Depth,P,Posterior
depth,Depth,1,1A
depth,Depth,2,1B
depth,Depth,3,1C
depth,Depth,4,2A
depth,Depth,5,2B
depth,Depth,6,2C
depth,Depth,7,3A
depth,Depth,8,3B
depth,Depth,9,3C
distance,Distance in cm,,
numfind,Finding Number,,
asses,Assessment (Bi-Rads),N,Negative
asses,Assessment (Bi-Rads),B,Benign
asses,Assessment (Bi-Rads),P,Probably benign
asses,Assessment (Bi-Rads),A,Additional evaluation
asses,Assessment (Bi-Rads),S,Suspicious
asses,Assessment (Bi-Rads),M,Highly suggestive of malignancy
asses,Assessment (Bi-Rads),K,Known biopsy-proven malignancy
asses,Assessment (Bi-Rads),X,**No Assessment**
recc,Reccommendation,1,1 Year follow up
recc,Reccommendation,&     ,NOT SPECIFIED
recc,Reccommendation,>     ,Return to screening
recc,Reccommendation,A     ,Cyst aspiration
recc,Reccommendation,AS    ,Aspiration
recc,Reccommendation,B     ,Biopsy
recc,Reccommendation,BF    ,Bilateral Follow-up
recc,Reccommendation,BM    ,Bilateral mammo
recc,Reccommendation,BU    ,Bilateral ultrasound
recc,Reccommendation,C     ,Clinical correlation of finding
recc,Reccommendation,CM    ,Clinical management
recc,Reccommendation,CMR   ,Clinical management w/ recall
recc,Reccommendation,D     ,Any decision to biopsy should be based on clinical assessment
recc,Reccommendation,E     ,Biopsy based on Clinical
recc,Reccommendation,F     ,Short term follow-up bilateral 
recc,Reccommendation,FL    ,Short term follow up left 
recc,Reccommendation,FN    ,Fine needle aspiration
recc,Reccommendation,FR    ,Short term follow up right 
recc,Reccommendation,GB    ,Bilateral Diagnostic Mammogram
recc,Reccommendation,GL    ,Left Diagnostic Mammogram
recc,Reccommendation,GR    ,Right Diagnostic Mammogram 
recc,Reccommendation,HRR   ,High Risk Screening MRI 
recc,Reccommendation,ICU   ,Independent clinical FU   
recc,Reccommendation,IFM   ,Independent clinical FU 
recc,Reccommendation,L     ,Needle localization and excision
recc,Reccommendation,M     ,Magnification mammography 
recc,Reccommendation,MR    ,Breast MRI
recc,Reccommendation,MR6   ,MRI six month follow up
recc,Reccommendation,MRA   ,MRI abnormal 
recc,Reccommendation,MRB   ,MR guided biopsy 
recc,Reccommendation,MRC   ,MRI-Consider routine 
recc,Reccommendation,MRI   ,MRI immediate follow up 
recc,Reccommendation,MRN   ,MRI strongly recommend  
recc,Reccommendation,N     ,Bilateral mammogram
recc,Reccommendation,O     ,Old films for comparison
recc,Reccommendation,OF    ,OSF/Additional Evaluation  
recc,Reccommendation,P     ,Additional projections   
recc,Reccommendation,PU    ,Possible ultrasound after mammo
recc,Reccommendation,RL    ,Left mammogram 
recc,Reccommendation,RR    ,Right mammogram
recc,Reccommendation,S     ,Spot compression  
recc,Reccommendation,SB    ,Stereotactic biopsy  
recc,Reccommendation,SE    ,Surgical excision 
recc,Reccommendation,T     ,Appropriate action 
recc,Reccommendation,TM    ,Tomo Views Also
recc,Reccommendation,TR    ,Technical Repeat
recc,Reccommendation,U     ,An ultrasound exam 
recc,Reccommendation,UB    ,Ultrasound biopsy
recc,Reccommendation,UM    ,Unilateral mammo
recc,Reccommendation,USC   ,Negative OSF
recc,Reccommendation,UU    ,Unilateral ultrasound 
recc,Reccommendation,Y     ,Cytologic analysis
recc,Reccommendation,Z     ,Biopsy already performed                                                                                                                              
stable,Whether finding is stable,,
new,Whether finding is new,,
changed,Any change noted in the finding,+     ,increase in size                                                                                                                                                                                        
changed,Any change noted in the finding,-     ,decrease in size                                                                                                                                                                                        
changed,Any change noted in the finding,C     ,Calcifications have become more coarse which is consistent with a benign process.                                                                                                                       
changed,Any change noted in the finding,D     ,decrease in number of calcifications                                                                                                                                                                    
changed,Any change noted in the finding,G     ,The finding does not persist upon additional diagnostic evaluation.                                                                                                                                     
changed,Any change noted in the finding,I     ,increase in number of calcifications                                                                                                                                                                    
changed,Any change noted in the finding,M     ,The finding is more prominent.                                                                                                                                                                          
changed,Any change noted in the finding,N     ,no significant changes                                                                                                                                                                                  
changed,Any change noted in the finding,O     ,more defined                                                                                                                                                                                            
changed,Any change noted in the finding,P     ,partially removed                                                                                                                                                                                       
changed,Any change noted in the finding,R     ,completely removed with no sign of recurrence                                                                                                                                                           
changed,Any change noted in the finding,S     ,not seen                                                                                                                                                                                                
changed,Any change noted in the finding,U     ,The finding is less prominent.                                                                                                                                                                          
changed,Any change noted in the finding,X     ,less defined                                                                                                                                                                                            
loc_num,Location of exam,1,Site 1
loc_num,Location of exam,2,Site 2
loc_num,Location of exam,3,Site 3
loc_num,Location of exam,5,Site 5
loc_num,Location of exam,6,Site 6
loc_num,Location of exam,7,Site 7
loc_num,Location of exam,8,Site 8
loc_num,Location of exam,9,Site 9
tech_init,Technologist Identifier,,
init,Radiologist Identifier,,
proccode,Procedure code for the exam. (Same as sprocs),,
desc,Description of the procedure,,
vtype,Visit Type,1,Procedure
vtype,Visit Type,2,Loc
vtype,Visit Type,3,Response to treatment
vtype,Visit Type,6,Short term follow up of prior MR finding
vtype,Visit Type,A,Additional evaluation requested from recent study
vtype,Visit Type,B,Post biopsy
vtype,Visit Type,C,Technical Callback
vtype,Visit Type,D,Outside films not available
vtype,Visit Type,E,Eval finding on OSF
vtype,Visit Type,F,Follow-up at short-interval from prior study
vtype,Visit Type,G,Extent of disease
vtype,Visit Type,H,High-risk screening
vtype,Visit Type,I,Eval of finding on MRI
vtype,Visit Type,K,Abnormal finding on prior study
vtype,Visit Type,L,Post lumpectomy
vtype,Visit Type,M,Post mastectomy follow-up
vtype,Visit Type,N,Specimen
vtype,Visit Type,O,Review of an outside study
vtype,Visit Type,P,Problem indicated
vtype,Visit Type,Q,Reflector Placement
vtype,Visit Type,R,Pre-reduction mammoplasty
vtype,Visit Type,S,Screening
vtype,Visit Type,T,Pre-radiation therapy
vtype,Visit Type,U,Implant Evaluation
vtype,Visit Type,V,Additional evaluation requested at current screening
vtype,Visit Type,X,Abnormal finding seen on other modality
vtype,Visit Type,Z,Post chemo
tissueden,Tissue Density,1,The breasts are almost entirely fat                                                                                                                   
tissueden,Tissue Density,2,Scattered fibroglandular densities                                                                                                                    
tissueden,Tissue Density,3,Heterogeneously dense                                                                                                                                 
tissueden,Tissue Density,4,Extremely dense                                                                                                                                       
tissueden,Tissue Density,5,Normal male                                                                                                                                           
case,Special Case Type,I,Interesting Case
case,Special Case Type,T,Teaching File
case,Special Case Type,O,Tomo Study
case,Special Case Type,N,Breast CT non-contrast Study
case,Special Case Type,C,Breast CT contrast Study
case,Special Case Type,Q,QA Alert
type,Biopsy Type,B,Needle biopsy pathology
type,Biopsy Type,S,Surgical pathology
technique,Biopsy Technique,CA,Cyst aspiration
technique,Biopsy Technique,CB,Core biopsy
technique,Biopsy Technique,EB,Excisional biopsy
technique,Biopsy Technique,FNA,FNA
technique,Biopsy Technique,MA,Mammographic non-stereotactic cyst aspiration
technique,Biopsy Technique,MR,MRI guided biopsy
technique,Biopsy Technique,MRX,MRI guided core biopsy
technique,Biopsy Technique,SA,Stereotactic guided cyst aspiration
technique,Biopsy Technique,SB,Stereotactic core biopsy
technique,Biopsy Technique,TB,Tomo guided biopsy
technique,Biopsy Technique,UA,Ultrasound guided cyst aspiration
technique,Biopsy Technique,UB,Ultrasound guided core biopsy
biopsite,Biopsy Site,A,Site A
biopsite,Biopsy Site,B,Site B
biopsite,Biopsy Site,C,Site C
biopsite,Biopsy Site,D,Site D
biopsite,Biopsy Site,E,Site E
biopsite,Biopsy Site,F,Site F
biop_loc,Biopsy Location,1,
biop_loc,Biopsy Location,5,
biop_loc,Biopsy Location,2,
biop_loc,Biopsy Location,6,
biop_loc,Biopsy Location,11,
binit,Biopsy Physician identifier,,
bcomp,Biopsy complications,H,Hematoma requiring surgery
bcomp,Biopsy complications,I,Infection requiring antibiotics
bcomp,Biopsy complications,L,Lymphoedema
bcomp,Biopsy complications,N,Numbness
bcomp,Biopsy complications,P,Pain
bcomp,Biopsy complications,X,Pneumothorax
procdate,Procedure Date,,
pdate,Pathology report date,,
path_loc,Location ID for pathology lab.,1,Site 1
path_loc,Location ID for pathology lab.,5,Site 5
path_loc,Location ID for pathology lab.,2,Site 2
path_loc,Location ID for pathology lab.,6,Site 6
path_loc,Location ID for pathology lab.,11,Site 11
path_dr,Pathologist identifier,,
rnumber,Pathology report number,,
diag_out,Sent to external facility,Y,External
diag_out,Sent to external facility,N,Internal
comment,General comment,,
surgery,Surgery Type,A,Axillary dissection
surgery,Surgery Type,BM,Subcutaneous Mastectomy
surgery,Surgery Type,E,Excisional Breast Biopsy
surgery,Surgery Type,I,Incisional Breast Biopsy
surgery,Surgery Type,IR,Implant Replacement
surgery,Surgery Type,L,Lumpectomy
surgery,Surgery Type,M,Mastectomy-all types
surgery,Surgery Type,MRM,Modified Radical Mastectomy
surgery,Surgery Type,O,Other
surgery,Surgery Type,Q,Quadrantectomy
surgery,Surgery Type,RE,Re-excision
surgery,Surgery Type,RM,Radical Mastectomy
surgery,Surgery Type,SE,Surgical Excision
surgery,Surgery Type,SM,Simple Mastectomy
lymphsurg,"	Lymph node surgery type.",AN,Axillary Lymph Node Dissection
lymphsurg,"	Lymph node surgery type.",HAN,High Axillary Lymph Node Dissection
lymphsurg,"	Lymph node surgery type.",IMN,Internal Mammary Lymph Node Dissection
lymphsurg,"	Lymph node surgery type.",LAN,Low Axillary Lymph Node Dissection
lymphsurg,"	Lymph node surgery type.",NS,Lymph Nodes Not Sampled
lymphsurg,"	Lymph node surgery type.",O,Other
lymphsurg,"	Lymph node surgery type.",S,Sentinel node biopsy
surg_loc,Surgery location ID,1,
surg_loc,Surgery location ID,2,
surg_loc,Surgery location ID,5,
surg_loc,Surgery location ID,6,
surg_loc,Surgery location ID,11,
surgeon,Surgeon Identifier,,
pocomp,Post Op Complications,H,Hematoma
pocomp,Post Op Complications,I,Infection
pocomp,Post Op Complications,O,Other
ltcomp,Long term complications,L,Lymphoedema
ltcomp,Long term complications,P,Pain
ltcomp,Long term complications,N,Numbness
ltcomp,Long term complications,O,Other
bside,Biopsy Side,L,Left
bside,Biopsy Side,R,Right
bside,Biopsy Side,B,Both
path (1-10),Pathology Finding,AB,Abscess
path (1-10),Pathology Finding,AD,Adenosis
path (1-10),Pathology Finding,ADC,Adenoid cystic carcinoma
path (1-10),Pathology Finding,ADE,Adenocarcinoma
path (1-10),Pathology Finding,ADH,Atypical ductal hyperplasia
path (1-10),Pathology Finding,ADM,Adenoma
path (1-10),Pathology Finding,AL,Adenolipoma
path (1-10),Pathology Finding,ALH,Atypical lobular hyperplasia
path (1-10),Pathology Finding,AM,Apocrine metaplasia
path (1-10),Pathology Finding,AME,Adenomyoepithelloma
path (1-10),Pathology Finding,AMY,Amyloid (tumor)
path (1-10),Pathology Finding,AN,Normal axillary node
path (1-10),Pathology Finding,ANA,Angiolipoma
path (1-10),Pathology Finding,ANC,Axillary node with calcifications
path (1-10),Pathology Finding,ANG,Angiomatosis
path (1-10),Pathology Finding,ANH,Axillary node hyperplasia
path (1-10),Pathology Finding,ANL,Axillary node with lymphoma
path (1-10),Pathology Finding,ANM,Axillary nodal metastases
path (1-10),Pathology Finding,AP,Apocrine carcinoma
path (1-10),Pathology Finding,APA,Atypical papilloma
path (1-10),Pathology Finding,APC,Apocrine cyst
path (1-10),Pathology Finding,APH,Atypical Lymphoid Hyperplasia
path (1-10),Pathology Finding,AS,Angiosarcoma
path (1-10),Pathology Finding,ASI,Asynchronous involution
path (1-10),Pathology Finding,B,Breast Cancer
path (1-10),Pathology Finding,BBP,Benign breast tissue
path (1-10),Pathology Finding,BC,Benign cyst
path (1-10),Pathology Finding,BCB,Benign cyst with blood
path (1-10),Pathology Finding,BCL,Benign calcifications
path (1-10),Pathology Finding,BCN,Basal cell carcinoma of the nipple
path (1-10),Pathology Finding,BEN,Benign
path (1-10),Pathology Finding,BP,Breast parenchyma
path (1-10),Pathology Finding,BVI,Blood vessel (vascular) Invasion
path (1-10),Pathology Finding,BXC,Biopsy site changes
path (1-10),Pathology Finding,CC,Colloid (mucinous) carcinoma
path (1-10),Pathology Finding,CCC,Columnar cell change
path (1-10),Pathology Finding,CCH,Carcinoma in children
path (1-10),Pathology Finding,CDS,Chondrosarcoma
path (1-10),Pathology Finding,CEB,Carcinoma in ectopic breast
path (1-10),Pathology Finding,CED,Carcinoma with endocrine differentiation
path (1-10),Pathology Finding,CH,Chondroma
path (1-10),Pathology Finding,CI,Comedocarcinoma (intraductal)
path (1-10),Pathology Finding,CL,Calcified lymph node
path (1-10),Pathology Finding,CM,Carcinoma in males
path (1-10),Pathology Finding,CMT,Carcinoma with metaplasia
path (1-10),Pathology Finding,COT,Cartilaginous and osseous change
path (1-10),Pathology Finding,CP,Intracystic papilloma
path (1-10),Pathology Finding,CPL,Carcinoma in pregnancy and lactation
path (1-10),Pathology Finding,CS,Carcinosarcoma
path (1-10),Pathology Finding,CSL,Complex sclerosing lesion
path (1-10),Pathology Finding,DA,Ductal adenoma
path (1-10),Pathology Finding,DC,DCIS
path (1-10),Pathology Finding,DCC,DCIS with comedonecrosis
path (1-10),Pathology Finding,DCH,"DCIS, high grade"
path (1-10),Pathology Finding,DCL,"DCIS, low grade"
path (1-10),Pathology Finding,DE,Ductal ectasia
path (1-10),Pathology Finding,DF,Diabetic fibrous mastopathy
path (1-10),Pathology Finding,DHU,"Ductal hyperplasia, Usual"
path (1-10),Pathology Finding,DMP,DCIS micro-papillary
path (1-10),Pathology Finding,DS,Ductal carcinoma in-situ (DCIS)
path (1-10),Pathology Finding,EAD,Extra abdominal desmoid
path (1-10),Pathology Finding,EBT,Ectopic (accessory) breast tissue
path (1-10),Pathology Finding,EC,Epidermal inclusion cyst
path (1-10),Pathology Finding,ED,Edema
path (1-10),Pathology Finding,FA,Fibroadenoma
path (1-10),Pathology Finding,FAC,Fibroademotoid change
path (1-10),Pathology Finding,FAH,Fibroadenomatoid hyperplasia
path (1-10),Pathology Finding,FAL,Fibroadenolipoma/hamartoma
path (1-10),Pathology Finding,FB,Foreign body (reaction)
path (1-10),Pathology Finding,FBS,Fibrosis
path (1-10),Pathology Finding,FC,Fibrocystic
path (1-10),Pathology Finding,FEA,Flat epithelial atypia
path (1-10),Pathology Finding,FEL,Fibroepithelial lesion
path (1-10),Pathology Finding,FF,Focal fibrosis
path (1-10),Pathology Finding,FM,Fibromatosis
path (1-10),Pathology Finding,FN,Fat necrosis
path (1-10),Pathology Finding,FS,Fibrosarcoma
path (1-10),Pathology Finding,GA,Galactocele
path (1-10),Pathology Finding,GC,Granular cell tumor
path (1-10),Pathology Finding,GCR,Giant cell reaction
path (1-10),Pathology Finding,GF,Giant fibroadenoma
path (1-10),Pathology Finding,GM,Granulomatous Mastitis
path (1-10),Pathology Finding,GRC,Glycogen-rich carcinoma
path (1-10),Pathology Finding,GYN,Gynecomastia
path (1-10),Pathology Finding,HA,Hamartoma
path (1-10),Pathology Finding,HAP,Hemanglopericytoma
path (1-10),Pathology Finding,HE,Hematoma
path (1-10),Pathology Finding,HEM,Hemorrhage
path (1-10),Pathology Finding,HES,"Hemangioma - nonparenchymal, subcutaneous"
path (1-10),Pathology Finding,HEV,Hemangioma - venous
path (1-10),Pathology Finding,HL,Hodgkin's Lymphoma
path (1-10),Pathology Finding,HM,Hemangioma
path (1-10),Pathology Finding,HY,"Hyperplasia, usual"
path (1-10),Pathology Finding,I,Invasive mammary carcinoma
path (1-10),Pathology Finding,IC,Intracystic carcinoma
path (1-10),Pathology Finding,ICC,Invasive cribriform carcinoma
path (1-10),Pathology Finding,ICP,Intracystic papillary carcinoma
path (1-10),Pathology Finding,ID,Invasive ductal carcinoma
path (1-10),Pathology Finding,IDC,Invasive ductal adenocarcinoma
path (1-10),Pathology Finding,IF,Inflammation
path (1-10),Pathology Finding,II,Invasive and in-situ carcinoma
path (1-10),Pathology Finding,IL,Invasive lobular carcinoma
path (1-10),Pathology Finding,IMC,Invasive Mucinous Carcinoma
path (1-10),Pathology Finding,IMN,Intramammary lymph node
path (1-10),Pathology Finding,IN,Infarct
path (1-10),Pathology Finding,INC,Inflammatory carcinoma
path (1-10),Pathology Finding,IPC,Invasive papillary carcinoma
path (1-10),Pathology Finding,JF,Juvenile fibroadenoma
